movieId,score,reason
200,1.0,A family isolated in a haunted hotel feels the walls close in with mounting dread.
31,0.95,A submarine crew trapped underwater in a nuclear crisis—claustrophobic tension nonstop.
665,0.9,"Imprisoned on a brutal planet, Ripley confronts horrors in tight corridors."
98,0.85,"An FBI trainee in a celluloid-light cage, the hunt for Buffalo Bill tightens the noose."
7,0.8,A future prison of sanity warps time as one man races against a virus outbreak.
199,0.75,"POWs struggle in a POW camp’s tight grids, every corridor a promise of doom."
176,0.7,"A dropship lures you into an alien hive—tight spaces, relentless dread."
144,0.65,"A lone cop battles terrorists in a trapped high-rise, every floor a trap."
226,0.6,"Runway to runway, Dulles Airport shuts down in a guilty man’s lethal game of cat and mouse."
142,0.55,Orphaned siblings seek safety in a clearing—but the wood’s embrace grows ever tighter.
