movieId,score,reason,year
28,1.0,Astronauts confront cascading failures in space and must jury-rig solutions to return home.,1995
31,0.95,Submarine officers locked underwater debate launch orders to avert nuclear disaster.,1995
178,0.9,"Twelve jurors locked in a room debate a verdict, unraveling doubt through heated discussion.",1957
568,0.85,Bus passengers and driver must outwit a terrorist’s bomb by keeping speed above 50 mph.,1994
234,0.8,"Passengers and crew stranded at 30,000 ft must solve mechanical chaos to land safely.",1980
144,0.75,One cop in a skyscraper must outthink terrorists to free hostages and regain control.,1988
505,0.7,A wife and detective navigate a single house to expose a clever murder plot.,1954
355,0.65,A team trapped in an underwater station encounters a mysterious sphere that demands logic to escape.,1998
233,0.6,A cook on a battleship uses wit and grit to thwart terrorists holding the ship hostage.,1992
1228,0.55,An ex-soldier on a hijacked train must outsmart criminals to save passengers.,1995
